#{"t_start": 1781727376.9474878, "env_id": "EPuckLidarParkingEnv-v0"}
r,l,t
75.20827,90,1839.115461
70.991599,92,1841.566535
-122.633585,85,1843.847862
78.72808,113,1847.416655
63.74073,113,1850.539361
74.968046,108,1853.438513
85.361182,98,1856.012713
72.808878,105,1858.91333
84.111818,93,1861.522649
79.254778,123,1864.951754
80.04855,107,1867.959465
-141.375675,107,1871.136725
72.913185,108,1874.700092
-161.667016,121,1877.86795
79.786632,97,1880.446471
77.787082,89,1882.835219
87.583375,104,1885.542505
83.424036,102,1888.348799
-154.762558,115,1891.750726
93.758805,106,1896.950306
77.583525,105,1899.685589
91.423977,99,1902.27268
-126.276311,102,1904.942709
88.789382,90,1907.875836
75.129225,91,1910.413934
-138.392811,91,1913.137128
76.499333,96,1915.99961
79.772464,97,1919.186436
79.791514,108,1922.121326
80.354182,97,1924.812139
78.211748,92,1927.421802
80.823273,96,1930.15785
77.270287,115,1933.3934
84.043488,98,1936.066663
54.877483,121,1939.508234
79.837965,109,1942.537706
-132.730898,102,1946.710365
-130.3686,112,1951.234473
76.764441,109,1955.299562
-118.629572,101,1958.684455
80.200504,103,1961.848454
-118.506382,109,1966.564571
-115.509125,108,1970.774781
75.132886,92,1974.278204
77.061426,94,1977.902011
78.497575,110,1982.615709
82.985708,104,1987.381476
-120.419883,90,1990.234627
86.003394,101,1993.444379
-129.665147,95,1996.328717
60.654731,109,2000.605739
-120.946967,111,2004.876537
85.123769,99,2008.462192
82.087599,113,2012.345512
74.918736,99,2015.58479
77.509827,109,2018.499095
86.915667,101,2021.783849
83.271132,93,2024.773083
80.205821,114,2028.05992
81.308358,95,2030.7351
89.345185,93,2033.79524
79.102055,101,2037.217505
84.404803,102,2040.912117
80.912166,100,2045.893768
85.470487,93,2049.635105
78.171849,106,2052.835933
84.230292,103,2055.949493
89.359388,85,2058.996231
74.435185,93,2061.626611
80.276954,109,2064.875662
-131.633461,99,2067.72493
84.651428,97,2070.495054
84.909751,92,2073.098772
82.415912,109,2077.207721
98.458037,102,2080.082488
92.090231,99,2082.763693
82.773159,108,2085.704013
93.849539,104,2088.702103
84.116992,108,2092.878751
-137.717065,91,2095.518138
76.43536,105,2098.418451
90.623134,95,2101.980345
95.818304,86,2105.139952
-120.624794,97,2107.935091
82.161323,110,2111.518633
-129.391436,100,2114.729972
80.428141,101,2117.636804
82.122352,106,2120.466693
85.159751,88,2123.367204
78.142857,100,2126.331371
82.910163,97,2128.999188
71.969584,109,2131.955367
83.709229,100,2135.701926
89.47152,95,2138.63226
-121.511724,98,2141.746678
76.281944,105,2144.653272
87.149919,105,2147.72779
89.931502,87,2150.791548
67.997276,114,2154.205595
80.84954,108,2157.723605
88.752389,104,2161.577125
78.38356,112,2165.516183
86.458715,88,2169.722917
78.64013,107,2172.664688
89.818773,98,2175.40991
80.923669,100,2179.21567
75.72725,116,2184.836919
87.850662,107,2189.067646
87.341133,90,2192.03402
80.413377,103,2195.632534
92.206823,90,2199.669147
82.170638,90,2202.343407
92.719451,104,2206.123364
82.661094,88,2209.542653
86.914204,98,2215.476994
88.914645,104,2219.488189
86.08094,99,2223.297775
90.745311,100,2226.669397
85.126316,112,2230.368575
85.207551,104,2233.687871
90.634713,95,2237.398584
91.599286,94,2241.262396
89.850801,99,2244.173744
83.882099,93,2247.604681
81.561734,92,2250.379553
85.287543,110,2253.50536
91.186173,97,2256.367514
98.632832,84,2262.715316
98.001155,91,2265.404534
102.377419,98,2268.576397
99.945883,89,2271.675285
99.947741,97,2274.698647
89.126939,91,2277.364913
84.28532,99,2281.314579
93.8154,92,2284.149675
88.32181,98,2286.884223
86.45782,96,2289.547396
-110.784714,92,2292.743599
88.438406,105,2295.822851
93.318999,90,2298.482558
87.660047,107,2301.693588
85.173119,106,2304.708488
88.868785,90,2307.595059
90.11688,108,2311.042645
80.738578,101,2315.331712
84.889634,109,2319.853745
91.258644,90,2322.921979
85.996516,113,2327.096607
82.778406,92,2330.059617
86.554608,103,2333.2924
87.753138,101,2336.348704
89.657712,95,2340.146059
89.042873,101,2344.123595
89.395997,86,2347.096671
92.554548,93,2349.934997
-111.542871,99,2352.955376
-112.36008,96,2355.942326
85.058204,95,2358.961298
84.911877,105,2362.98716
85.684773,104,2366.663599
91.122838,95,2369.710958
92.000322,84,2372.528543
85.62376,99,2375.402592
86.572277,110,2378.376275
77.101058,98,2381.01489
