#{"t_start": 1781740124.1269634, "env_id": "EPuckLidarParkingEnvSAC-v0"}
r,l,t
93.048978,99,4066.54033
91.309658,113,4073.275244
88.260659,103,4078.88928
89.702838,118,4085.28538
99.331631,92,4090.206585
86.086056,127,4097.080245
100.808496,90,4101.970197
102.267603,89,4106.79465
85.75339,119,4113.270211
89.133069,103,4118.887644
93.727328,115,4125.075536
96.19082,99,4130.856542
103.13185,106,4136.963174
98.194698,94,4142.053638
100.570958,92,4147.418351
98.505956,86,4152.100203
96.384031,92,4157.075597
98.90367,109,4163.006813
93.680869,100,4168.361906
94.303838,121,4174.92966
95.171242,115,4181.19149
92.366563,119,4187.581729
98.205688,106,4193.329181
100.584468,103,4198.978745
94.4579,105,4204.708373
90.37606,122,4211.486167
87.821931,105,4217.29628
100.461055,115,4223.516501
99.368199,85,4228.054138
100.397379,110,4232.301953
100.007445,106,4235.437078
92.868067,106,4238.557376
96.399443,109,4241.785546
101.306109,101,4244.698626
97.443919,98,4249.964495
98.832027,110,4256.045286
96.498265,111,4262.266872
82.443443,118,4268.828147
95.98208,109,4274.806958
99.486685,111,4280.843622
99.014893,110,4286.948507
90.850701,110,4292.911938
95.588705,92,4297.960594
97.613288,107,4303.835198
93.605361,127,4310.770545
98.523041,89,4315.808663
89.204009,116,4322.064734
96.298369,111,4328.03169
97.207397,111,4334.008786
85.157464,115,4340.093265
92.012569,102,4345.619149
98.663665,117,4351.965994
89.771976,103,4357.672525
89.511326,125,4364.366486
99.542024,95,4369.506711
87.870166,129,4376.518578
93.858371,111,4382.629874
101.993182,91,4387.633034
93.659778,104,4393.283106
98.238465,96,4398.429703
102.865917,92,4403.364498
96.627682,104,4409.019105
89.001965,110,4415.053762
97.602749,120,4421.552764
94.952819,111,4427.544198
90.746216,101,4432.995183
94.427391,98,4438.317537
96.176536,99,4443.65055
99.667248,112,4449.680406
93.244454,102,4455.154231
94.007623,113,4461.160642
95.113689,92,4466.181479
99.641046,114,4472.359314
99.831669,116,4478.803358
96.943374,111,4485.141135
97.793399,114,4491.284752
98.020651,103,4496.767135
100.349964,89,4501.585063
100.085552,113,4507.673805
99.123704,105,4513.277023
101.139917,109,4519.154454
99.08256,114,4525.288575
96.085374,90,4530.169243
85.455515,118,4536.504574
87.685538,98,4541.840844
97.056804,107,4547.671218
97.677314,93,4552.656885
90.836596,113,4558.738147
97.481296,106,4564.419822
92.88969,107,4570.295035
102.140861,110,4576.180617
97.751741,108,4582.041391
94.8291,119,4588.565906
97.25967,98,4593.819147
98.190327,118,4600.340065
95.925744,117,4606.708587
