#{"t_start": 1781747159.5238495, "env_id": "EPuckLidarParkingEnvSAC-v0"}
r,l,t
69.485444,110,4141.500404
79.117596,104,4145.989556
85.006162,102,4150.324226
87.933578,117,4155.408676
91.154415,103,4159.776754
87.455331,101,4164.018739
89.642448,107,4168.478874
86.028399,103,4172.819761
64.854236,121,4177.987528
88.032754,95,4182.011038
95.569626,106,4186.581187
75.912159,122,4191.709755
89.81447,121,4196.849077
87.424628,99,4200.969289
85.951982,93,4205.240334
69.211248,120,4210.350801
81.450161,111,4214.995863
88.703633,96,4218.98274
86.013098,106,4223.503277
92.220792,114,4228.421987
68.435336,122,4233.612928
74.874161,112,4238.435057
89.17552,108,4243.107973
65.980886,117,4248.756899
96.56119,87,4252.462699
85.145388,103,4256.834619
94.756037,112,4261.562273
86.108627,105,4266.028873
82.608653,93,4270.080755
86.278082,104,4274.568011
87.709748,119,4279.710849
89.524861,107,4284.325585
86.525723,127,4289.941961
90.090112,99,4294.303907
88.868299,101,4298.584576
87.616074,108,4303.275101
92.711015,109,4308.115149
95.315408,110,4312.759136
84.071975,118,4317.93669
84.175756,114,4322.989165
66.121263,124,4328.318787
83.032535,130,4334.000517
63.301944,118,4338.964736
69.171903,120,4344.268063
92.234467,103,4348.603567
66.621018,106,4353.119931
94.315274,103,4357.423099
92.3908,90,4361.42546
83.366177,118,4366.789918
89.691309,99,4371.318116
91.885739,96,4375.348378
91.957005,111,4382.191739
73.492948,123,4385.299107
80.05859,96,4388.049042
88.307119,93,4390.434063
79.621593,113,4393.295288
89.443769,98,4397.455942
98.357957,87,4401.261436
80.165073,110,4405.846789
78.207101,102,4410.340458
88.835755,100,4414.614766
89.443481,111,4419.481739
85.638754,100,4423.717012
84.953841,113,4428.969447
69.771482,104,4433.468926
87.957742,107,4438.176602
72.822423,104,4442.68184
74.224691,114,4447.620877
72.256366,108,4452.181141
84.417679,96,4456.482965
75.772555,101,4461.04796
91.570089,107,4465.646915
79.114427,99,4469.92607
46.264749,109,4474.4964
74.52602,120,4479.602321
